,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean,,,Date,KU-bid,KU-ask,US-bid,US-ask,KU-mean,US-mean
1,2017/11/22 20:01,1086.5,1086.6,1086.5,1086.8,1086.55,1086.65,,,2017/11/23 19:31,1086.6,1086.7,1086.5,1086.8,1086.65,1086.65,,,2017/11/26 19:01,1085.6,1085.7,1085.5,1086,1085.65,1085.75,,,2017/11/27 19:01,1090.4,1090.5,1090.6,1091,1090.45,1090.8,,,2017/11/28 19:01,1084.2,1084.4,1084.4,1084.6,1084.3,1084.5,,,2017/11/29 19:01,1081.9,1082,1081.5,1081.9,1081.95,1081.7,,,2017/11/30 19:01,1087,1087.1,1087.2,1087.5,1087.05,1087.35,,,2017/12/3 19:01,1086.1,1086.2,1085.9,1086.6,1086.15,1086.25
2,2017/11/22 20:02,1086.5,1086.6,1086.6,1086.9,1086.55,1086.75,,,2017/11/23 19:32,1086.6,1086.7,1086.8,1087,1086.65,1086.9,,,2017/11/26 19:02,1085.7,1085.8,1085.6,1086,1085.75,1085.8,,,2017/11/27 19:02,1089.9,1090,1090.3,1090.6,1089.95,1090.45,,,2017/11/28 19:02,1084.1,1084.2,1084.3,1084.7,1084.15,1084.5,,,2017/11/29 19:02,1082,1082.2,1082,1082.3,1082.1,1082.15,,,2017/11/30 19:02,1086.6,1087,1086.9,1087.1,1086.8,1087,,,2017/12/3 19:02,1086.4,1086.5,1086.2,1086.5,1086.45,1086.35
3,2017/11/22 20:03,1086.8,1086.9,1086.5,1086.7,1086.85,1086.6,,,2017/11/23 19:33,1086.5,1086.6,1086.8,1087,1086.55,1086.9,,,2017/11/26 19:03,1085.7,1085.8,1086,1086.1,1085.75,1086.05,,,2017/11/27 19:03,1089.9,1090,1090.1,1090.3,1089.95,1090.2,,,2017/11/28 19:03,1084.1,1084.2,1084.2,1084.5,1084.15,1084.35,,,2017/11/29 19:03,1082,1082.2,1082.4,1082.6,1082.1,1082.5,,,2017/11/30 19:03,1086.6,1087,1087,1087.4,1086.8,1087.2,,,2017/12/3 19:03,1086.4,1086.5,1086.5,1086.8,1086.45,1086.65
4,2017/11/22 20:04,1086.8,1086.9,1086.8,1087,1086.85,1086.9,,,2017/11/23 19:34,1086.2,1086.3,1086.7,1087,1086.25,1086.85,,,2017/11/26 19:04,1085.7,1085.8,1086,1086.3,1085.75,1086.15,,,2017/11/27 19:04,1089.9,1090,1090,1090.4,1089.95,1090.2,,,2017/11/28 19:04,1084.2,1084.3,1084.3,1084.4,1084.25,1084.35,,,2017/11/29 19:04,1082.2,1082.3,1082.3,1082.6,1082.25,1082.45,,,2017/11/30 19:04,1086.6,1086.7,1086.6,1086.9,1086.65,1086.75,,,2017/12/3 19:04,1086.2,1086.4,1086.4,1086.7,1086.3,1086.55
5,2017/11/22 20:05,1086.8,1086.9,1086.9,1087.1,1086.85,1087,,,2017/11/23 19:35,1086.2,1086.3,1086.4,1086.6,1086.25,1086.5,,,2017/11/26 19:05,1085.8,1085.9,1085.9,1086.2,1085.85,1086.05,,,2017/11/27 19:05,1089.7,1089.8,1090.2,1090.5,1089.75,1090.35,,,2017/11/28 19:05,1084.1,1084.2,1084.2,1084.5,1084.15,1084.35,,,2017/11/29 19:05,1082.1,1082.2,1082.3,1082.5,1082.15,1082.4,,,2017/11/30 19:05,1087,1087.2,1086.8,1087.1,1087.1,1086.95,,,2017/12/3 19:05,1086,1086.1,1086,1086.3,1086.05,1086.15
6,2017/11/22 20:06,1087.1,1087.2,1087,1087.1,1087.15,1087.05,,,2017/11/23 19:36,1086,1086.1,1086.3,1086.5,1086.05,1086.4,,,2017/11/26 19:06,1086,1086.1,1085.8,1086.2,1086.05,1086,,,2017/11/27 19:06,1089.7,1089.8,1089.9,1090.1,1089.75,1090,,,2017/11/28 19:06,1083.4,1083.5,1084.1,1084.4,1083.45,1084.25,,,2017/11/29 19:06,1082.2,1082.3,1082.4,1082.5,1082.25,1082.45,,,2017/11/30 19:06,1087,1087.1,1087.3,1087.5,1087.05,1087.4,,,2017/12/3 19:06,1085.6,1085.7,1086,1086.3,1085.65,1086.15
7,2017/11/22 20:07,1087.2,1087.3,1087.1,1087.3,1087.25,1087.2,,,2017/11/23 19:37,1086,1086.1,1086.1,1086.5,1086.05,1086.3,,,2017/11/26 19:07,1086,1086.1,1086,1086.3,1086.05,1086.15,,,2017/11/27 19:07,1089.7,1089.8,1089.9,1090.1,1089.75,1090,,,2017/11/28 19:07,1083.4,1083.5,1083.5,1083.9,1083.45,1083.7,,,2017/11/29 19:07,1082.2,1082.3,1082.4,1082.6,1082.25,1082.5,,,2017/11/30 19:07,1087,1087.1,1087.2,1087.5,1087.05,1087.35,,,2017/12/3 19:07,1085.6,1085.7,1085.8,1086,1085.65,1085.9
8,2017/11/22 20:08,1087.2,1087.3,1087.2,1087.5,1087.25,1087.35,,,2017/11/23 19:38,1086,1086.1,1086.1,1086.4,1086.05,1086.25,,,2017/11/26 19:08,1086.3,1086.4,1086.4,1086.7,1086.35,1086.55,,,2017/11/27 19:08,1089.8,1089.9,1090,1090.3,1089.85,1090.15,,,2017/11/28 19:08,1082.5,1082.6,1083.1,1083.4,1082.55,1083.25,,,2017/11/29 19:08,1081.8,1081.9,1082.3,1082.5,1081.85,1082.4,,,2017/11/30 19:08,1087.2,1087.2,1087.3,1087.5,1087.2,1087.4,,,2017/12/3 19:08,1085.7,1085.8,1085.8,1086,1085.75,1085.9
9,2017/11/22 20:09,1087.5,1087.6,1087.2,1087.5,1087.55,1087.35,,,2017/11/23 19:39,1085.6,1085.7,1086,1086.3,1085.65,1086.15,,,2017/11/26 19:09,1086.3,1086.4,1086.6,1086.9,1086.35,1086.75,,,2017/11/27 19:09,1089.7,1089.8,1090.1,1090.4,1089.75,1090.25,,,2017/11/28 19:09,1082.6,1082.7,1082.8,1083,1082.65,1082.9,,,2017/11/29 19:09,1081.9,1082,1081.9,1082.3,1081.95,1082.1,,,2017/11/30 19:09,1087.2,1087.3,1087,1087.5,1087.25,1087.25,,,2017/12/3 19:09,1085.5,1085.6,1085.6,1086,1085.55,1085.8
10,2017/11/22 20:10,1087.7,1087.8,1087.7,1088,1087.75,1087.85,,,2017/11/23 19:40,1085.6,1085.7,1085.7,1086,1085.65,1085.85,,,2017/11/26 19:10,1086.4,1086.5,1086.5,1086.8,1086.45,1086.65,,,2017/11/27 19:10,1089.6,1089.7,1089.9,1090.1,1089.65,1090,,,2017/11/28 19:10,1082.6,1082.7,1082.8,1083,1082.65,1082.9,,,2017/11/29 19:10,1081.8,1081.9,1082,1082.2,1081.85,1082.1,,,2017/11/30 19:10,1087.2,1087.3,1087.2,1087.5,1087.25,1087.35,,,2017/12/3 19:10,1085.3,1085.4,1085.5,1085.9,1085.35,1085.7
11,2017/11/22 20:11,1087.7,1087.8,1087.8,1088,1087.75,1087.9,,,2017/11/23 19:41,1085.6,1085.7,1085.6,1085.9,1085.65,1085.75,,,2017/11/26 19:11,1086.4,1086.5,1086.5,1086.8,1086.45,1086.65,,,2017/11/27 19:11,1089.6,1089.7,1089.9,1090,1089.65,1089.95,,,2017/11/28 19:11,1082.6,1082.7,1082.9,1083,1082.65,1082.95,,,2017/11/29 19:11,1081.8,1081.9,1082,1082.2,1081.85,1082.1,,,2017/11/30 19:11,1087.2,1087.3,1087.3,1087.5,1087.25,1087.4,,,2017/12/3 19:11,1085.3,1085.4,1085.4,1085.6,1085.35,1085.5
12,2017/11/22 20:12,1087,1087.1,1087.2,1087.5,1087.05,1087.35,,,2017/11/23 19:42,1085.6,1085.7,1085.8,1086,1085.65,1085.9,,,2017/11/26 19:12,1086.3,1086.4,1086.5,1086.8,1086.35,1086.65,,,2017/11/27 19:12,1089.6,1089.7,1089.9,1090,1089.65,1089.95,,,2017/11/28 19:12,1082.7,1082.8,1083,1083.3,1082.75,1083.15,,,2017/11/29 19:12,1082.1,1082.3,1082,1082.3,1082.2,1082.15,,,2017/11/30 19:12,1087.2,1087.3,1087.6,1087.9,1087.25,1087.75,,,2017/12/3 19:12,1085.4,1085.5,1085.4,1085.7,1085.45,1085.55
13,2017/11/22 20:13,1087.2,1087.3,1087.1,1087.3,1087.25,1087.2,,,2017/11/23 19:43,1085.5,1085.6,1085.8,1086,1085.55,1085.9,,,2017/11/26 19:13,1086.7,1086.8,1086.5,1086.8,1086.75,1086.65,,,2017/11/27 19:13,1089.6,1089.8,1089.9,1090.2,1089.7,1090.05,,,2017/11/28 19:13,1082.9,1083,1082.9,1083.3,1082.95,1083.1,,,2017/11/29 19:13,1082.4,1082.5,1082.5,1082.7,1082.45,1082.6,,,2017/11/30 19:13,1086.9,1087.1,1087.3,1087.5,1087,1087.4,,,2017/12/3 19:13,1085.6,1085.7,1085.6,1085.9,1085.65,1085.75
14,2017/11/22 20:14,1087.2,1087.3,1087.2,1087.5,1087.25,1087.35,,,2017/11/23 19:44,1085.5,1085.6,1085.8,1086,1085.55,1085.9,,,2017/11/26 19:14,1086.7,1086.8,1087,1087.2,1086.75,1087.1,,,2017/11/27 19:14,1090,1090.1,1090,1090.3,1090.05,1090.15,,,2017/11/28 19:14,1082.9,1083,1083.2,1083.4,1082.95,1083.3,,,2017/11/29 19:14,1082.3,1082.4,1082.8,1083,1082.35,1082.9,,,2017/11/30 19:14,1086.9,1087,1087,1087.3,1086.95,1087.15,,,2017/12/3 19:14,1085.5,1085.6,1085.5,1085.8,1085.55,1085.65
15,2017/11/22 20:15,1086.9,1087,1087.3,1087.5,1086.95,1087.4,,,2017/11/23 19:45,1085.6,1085.7,1085.9,1086.1,1085.65,1086,,,2017/11/26 19:15,1086.7,1086.8,1086.9,1087.1,1086.75,1087,,,2017/11/27 19:15,1090,1090.1,1090.2,1090.4,1090.05,1090.3,,,2017/11/28 19:15,1082.9,1083,1083,1083.3,1082.95,1083.15,,,2017/11/29 19:15,1082.3,1082.4,1082.5,1082.7,1082.35,1082.6,,,2017/11/30 19:15,1086.9,1087,1087,1087.3,1086.95,1087.15,,,2017/12/3 19:15,1085.5,1085.6,1085.6,1085.8,1085.55,1085.7
16,2017/11/22 20:16,1087.1,1087.2,1087.1,1087.3,1087.15,1087.2,,,2017/11/23 19:46,1085.5,1085.6,1085.8,1086,1085.55,1085.9,,,2017/11/26 19:16,1086.4,1086.5,1086.5,1086.9,1086.45,1086.7,,,2017/11/27 19:16,1089.8,1089.9,1090.1,1090.4,1089.85,1090.25,,,2017/11/28 19:16,1083,1083.1,1083.2,1083.4,1083.05,1083.3,,,2017/11/29 19:16,1082.2,1082.3,1082.5,1082.8,1082.25,1082.65,,,2017/11/30 19:16,1086.9,1086.9,1087.2,1087.4,1086.9,1087.3,,,2017/12/3 19:16,1085.6,1085.7,1085.6,1086,1085.65,1085.8
17,2017/11/22 20:17,1087.1,1087.2,1087.2,1087.5,1087.15,1087.35,,,2017/11/23 19:47,1085.5,1085.6,1085.6,1085.9,1085.55,1085.75,,,2017/11/26 19:17,1086.5,1086.6,1086.6,1086.9,1086.55,1086.75,,,2017/11/27 19:17,1089.6,1089.7,1090,1090.2,1089.65,1090.1,,,2017/11/28 19:17,1083.5,1083.6,1083.5,1083.8,1083.55,1083.65,,,2017/11/29 19:17,1082.1,1082.2,1082.4,1082.5,1082.15,1082.45,,,2017/11/30 19:17,1086.9,1087,1086.9,1087.4,1086.95,1087.15,,,2017/12/3 19:17,1085.9,1086.1,1086.2,1086.5,1086,1086.35
18,2017/11/22 20:18,1086.9,1087,1087.1,1087.4,1086.95,1087.25,,,2017/11/23 19:48,1085.6,1085.7,1085.7,1086,1085.65,1085.85,,,2017/11/26 19:18,1086.5,1086.6,1086.7,1087,1086.55,1086.85,,,2017/11/27 19:18,1089.2,1089.3,1089.6,1089.9,1089.25,1089.75,,,2017/11/28 19:18,1083.4,1083.5,1083.6,1083.8,1083.45,1083.7,,,2017/11/29 19:18,1081.6,1081.7,1082,1082.4,1081.65,1082.2,,,2017/11/30 19:18,1086.9,1086.8,1087,1087.3,1086.85,1087.15,,,2017/12/3 19:18,1085.7,1085.8,1085.8,1086.1,1085.75,1085.95
19,2017/11/22 20:19,1087,1087.1,1087.1,1087.3,1087.05,1087.2,,,2017/11/23 19:49,1085.7,1085.8,1085.8,1086,1085.75,1085.9,,,2017/11/26 19:19,1086.5,1086.6,1086.6,1086.9,1086.55,1086.75,,,2017/11/27 19:19,1089.2,1089.3,1089.4,1089.5,1089.25,1089.45,,,2017/11/28 19:19,1083.4,1083.5,1083.6,1083.8,1083.45,1083.7,,,2017/11/29 19:19,1081.6,1081.7,1081.8,1082,1081.65,1081.9,,,2017/11/30 19:19,1086.9,1086.8,1086.9,1087.1,1086.85,1087,,,2017/12/3 19:19,1085.7,1085.8,1085.8,1086,1085.75,1085.9
20,2017/11/22 20:20,1087,1087.1,1087,1087.4,1087.05,1087.2,,,2017/11/23 19:50,1085.7,1085.8,1085.9,1086.1,1085.75,1086,,,2017/11/26 19:20,1086.5,1086.6,1086.9,1086.9,1086.55,1086.9,,,2017/11/27 19:20,1089.5,1089.6,1089.6,1089.9,1089.55,1089.75,,,2017/11/28 19:20,1083.3,1083.4,1083.5,1083.7,1083.35,1083.6,,,2017/11/29 19:20,1081.8,1081.9,1082,1082.3,1081.85,1082.15,,,2017/11/30 19:20,1086.9,1087,1086.9,1087.1,1086.95,1087,,,2017/12/3 19:20,1085.7,1085.8,1085.8,1086.1,1085.75,1085.95
21,2017/11/22 20:21,1087,1087.1,1087,1087.4,1087.05,1087.2,,,2017/11/23 19:51,1085.9,1086,1086,1086.2,1085.95,1086.1,,,2017/11/26 19:21,1086.5,1086.6,1086.8,1087,1086.55,1086.9,,,2017/11/27 19:21,1089.7,1089.8,1089.8,1090.1,1089.75,1089.95,,,2017/11/28 19:21,1083.4,1083.5,1083.5,1083.6,1083.45,1083.55,,,2017/11/29 19:21,1081.8,1081.9,1082,1082.2,1081.85,1082.1,,,2017/11/30 19:21,1087,1087.1,1087.1,1087.4,1087.05,1087.25,,,2017/12/3 19:21,1085.7,1085.8,1085.8,1086,1085.75,1085.9
22,2017/11/22 20:22,1087.2,1087.3,1087.2,1087.5,1087.25,1087.35,,,2017/11/23 19:52,1085.8,1085.9,1086,1086.2,1085.85,1086.1,,,2017/11/26 19:22,1086.5,1086.7,1086.8,1087,1086.6,1086.9,,,2017/11/27 19:22,1089.5,1089.7,1090,1090.2,1089.6,1090.1,,,2017/11/28 19:22,1083.4,1083.5,1083.6,1083.9,1083.45,1083.75,,,2017/11/29 19:22,1081.6,1081.7,1082,1082.1,1081.65,1082.05,,,2017/11/30 19:22,1087,1087.1,1087.1,1087.5,1087.05,1087.3,,,2017/12/3 19:22,1085.8,1085.9,1085.8,1086,1085.85,1085.9
23,2017/11/22 20:23,1087.2,1087.3,1087.4,1087.5,1087.25,1087.45,,,2017/11/23 19:53,1085.8,1085.9,1086,1086.2,1085.85,1086.1,,,2017/11/26 19:23,1086.5,1086.7,1086.7,1087,1086.6,1086.85,,,2017/11/27 19:23,1089.5,1089.7,1089.8,1090,1089.6,1089.9,,,2017/11/28 19:23,1083.4,1083.5,1083.5,1083.8,1083.45,1083.65,,,2017/11/29 19:23,1081.6,1081.7,1081.8,1082,1081.65,1081.9,,,2017/11/30 19:23,1087,1087.1,1087,1087.4,1087.05,1087.2,,,2017/12/3 19:23,1085.8,1085.9,1085.9,1086,1085.85,1085.95
24,2017/11/22 20:24,1087,1087.1,1087.2,1087.4,1087.05,1087.3,,,2017/11/23 19:54,1085.6,1085.8,1086,1086.3,1085.7,1086.15,,,2017/11/26 19:24,1086.6,1086.7,1086.9,1087.1,1086.65,1087,,,2017/11/27 19:24,1089.5,1089.6,1089.8,1090,1089.55,1089.9,,,2017/11/28 19:24,1083.4,1083.6,1083.7,1083.9,1083.5,1083.8,,,2017/11/29 19:24,1081.6,1081.7,1081.9,1082.2,1081.65,1082.05,,,2017/11/30 19:24,1088.1,1087.3,1087.3,1087.5,1087.7,1087.4,,,2017/12/3 19:24,1085.7,1085.8,1085.8,1086,1085.75,1085.9
25,2017/11/22 20:25,1086.6,1086.7,1086.9,1087.1,1086.65,1087,,,2017/11/23 19:55,1085.6,1085.8,1085.8,1085.9,1085.7,1085.85,,,2017/11/26 19:25,1086.5,1086.6,1086.8,1087,1086.55,1086.9,,,2017/11/27 19:25,1089.4,1089.5,1089.5,1089.9,1089.45,1089.7,,,2017/11/28 19:25,1083.3,1083.5,1083.5,1083.8,1083.4,1083.65,,,2017/11/29 19:25,1081.6,1081.7,1082,1082.1,1081.65,1082.05,,,2017/11/30 19:25,1088.1,1088.2,1088,1088.2,1088.15,1088.1,,,2017/12/3 19:25,1085.8,1085.9,1085.8,1086,1085.85,1085.9
