,Date,cointegration,,Date,cointegration,,Date,cointegration,,Date,cointegration,,Date,cointegration,,Date,cointegration,,Date,cointegration,,Date,cointegration
1,2017/11/22 20:01,1610.734532,,2017/11/23 19:31,1602.410588,,2017/11/26 19:01,1587.533195,,2017/11/27 19:01,1666.739613,,2017/11/28 19:01,1591.289532,,2017/11/29 19:01,1674.568137,,2017/11/30 19:01,1705.81604,,2017/12/3 19:01,1591.748341
2,2017/11/22 20:02,1610.83156,,2017/11/23 19:32,1602.648364,,2017/11/26 19:02,1587.634349,,2017/11/27 19:02,1666.141997,,2017/11/28 19:02,1591.205525,,2017/11/29 19:02,1675.150131,,2017/11/30 19:02,1705.311818,,2017/12/3 19:02,1591.994355
3,2017/11/22 20:03,1610.839634,,2017/11/23 19:33,1602.596011,,2017/11/26 19:03,1587.859681,,2017/11/27 19:03,1665.86458,,2017/11/28 19:03,1591.069421,,2017/11/29 19:03,1675.558224,,2017/11/30 19:03,1705.535808,,2017/12/3 19:03,1592.284767
4,2017/11/22 20:04,1611.13072,,2017/11/23 19:34,1602.391397,,2017/11/26 19:04,1587.949813,,2017/11/27 19:04,1665.86458,,2017/11/28 19:04,1591.125426,,2017/11/29 19:04,1675.557228,,2017/11/30 19:04,1704.964486,,2017/12/3 19:04,1592.113358
5,2017/11/22 20:05,1611.227748,,2017/11/23 19:35,1602.058511,,2017/11/26 19:05,1587.915768,,2017/11/27 19:05,1665.947337,,2017/11/28 19:05,1591.069421,,2017/11/29 19:05,1675.460727,,2017/11/30 19:05,1705.390506,,2017/12/3 19:05,1591.6018
6,2017/11/22 20:06,1611.429879,,2017/11/23 19:36,1601.858694,,2017/11/26 19:06,1587.982878,,2017/11/27 19:06,1665.558954,,2017/11/28 19:06,1590.586652,,2017/11/29 19:06,1675.557228,,2017/11/30 19:06,1705.872037,,2017/12/3 19:06,1591.402853
7,2017/11/22 20:07,1611.626627,,2017/11/23 19:37,1601.763584,,2017/11/26 19:07,1588.118077,,2017/11/27 19:07,1665.558954,,2017/11/28 19:07,1590.087605,,2017/11/29 19:07,1675.615527,,2017/11/30 19:07,1705.81604,,2017/12/3 19:07,1591.160844
8,2017/11/22 20:08,1611.77217,,2017/11/23 19:38,1601.716029,,2017/11/26 19:08,1588.646871,,2017/11/27 19:08,1665.76725,,2017/11/28 19:08,1589.175251,,2017/11/29 19:08,1675.346121,,2017/11/30 19:08,1705.93938,,2017/12/3 19:08,1591.21058
9,2017/11/22 20:09,1611.925786,,2017/11/23 19:39,1601.411507,,2017/11/26 19:09,1588.827136,,2017/11/27 19:09,1665.836371,,2017/11/28 19:09,1588.91368,,2017/11/29 19:09,1675.034529,,2017/11/30 19:09,1705.793835,,2017/12/3 19:09,1591.014303
10,2017/11/22 20:10,1612.513341,,2017/11/23 19:40,1601.126175,,2017/11/26 19:10,1588.793092,,2017/11/27 19:10,1665.517108,,2017/11/28 19:10,1588.91368,,2017/11/29 19:10,1674.996327,,2017/11/30 19:10,1705.90583,,2017/12/3 19:10,1590.818025
11,2017/11/22 20:11,1612.561855,,2017/11/23 19:41,1601.031065,,2017/11/26 19:11,1588.793092,,2017/11/27 19:11,1665.461624,,2017/11/28 19:11,1588.959048,,2017/11/29 19:11,1674.996327,,2017/11/30 19:11,1705.961828,,2017/12/3 19:11,1590.624418
12,2017/11/22 20:12,1611.669759,,2017/11/23 19:42,1601.17373,,2017/11/26 19:12,1588.737004,,2017/11/27 19:12,1665.461624,,2017/11/28 19:12,1589.196525,,2017/11/29 19:12,1675.188333,,2017/11/30 19:12,1706.353812,,2017/12/3 19:12,1590.722556
13,2017/11/22 20:13,1611.626627,,2017/11/23 19:43,1601.121378,,2017/11/26 19:13,1588.961355,,2017/11/27 19:13,1665.593514,,2017/11/28 19:13,1589.263166,,2017/11/29 19:13,1675.808529,,2017/11/30 19:13,1705.84959,,2017/12/3 19:13,1591.015638
14,2017/11/22 20:14,1611.77217,,2017/11/23 19:44,1601.121378,,2017/11/26 19:14,1589.366952,,2017/11/27 19:14,1665.850943,,2017/11/28 19:14,1589.444638,,2017/11/29 19:14,1676.120121,,2017/11/30 19:14,1705.547154,,2017/12/3 19:14,1590.869097
15,2017/11/22 20:15,1611.667068,,2017/11/23 19:45,1601.268841,,2017/11/26 19:15,1589.276819,,2017/11/27 19:15,1666.017393,,2017/11/28 19:15,1589.308534,,2017/11/29 19:15,1675.770327,,2017/11/30 19:15,1705.547154,,2017/12/3 19:15,1590.917499
16,2017/11/22 20:16,1611.575422,,2017/11/23 19:46,1601.121378,,2017/11/26 19:16,1588.838158,,2017/11/27 19:16,1665.878217,,2017/11/28 19:16,1589.500643,,2017/11/29 19:16,1675.790424,,2017/11/30 19:16,1705.692699,,2017/12/3 19:16,1591.06404
17,2017/11/22 20:17,1611.720965,,2017/11/23 19:47,1600.978712,,2017/11/26 19:17,1588.939312,,2017/11/27 19:17,1665.628074,,2017/11/28 19:17,1590.098242,,2017/11/29 19:17,1675.519026,,2017/11/30 19:17,1705.547154,,2017/12/3 19:17,1591.77054
18,2017/11/22 20:18,1611.521525,,2017/11/23 19:48,1601.126175,,2017/11/26 19:18,1589.029445,,2017/11/27 19:18,1665.072305,,2017/11/28 19:18,1590.087605,,2017/11/29 19:18,1675.036521,,2017/11/30 19:18,1705.502258,,2017/12/3 19:18,1591.258982
19,2017/11/22 20:19,1611.524216,,2017/11/23 19:49,1601.226083,,2017/11/26 19:19,1588.939312,,2017/11/27 19:19,1664.739405,,2017/11/28 19:19,1590.087605,,2017/11/29 19:19,1674.686726,,2017/11/30 19:19,1705.334265,,2017/12/3 19:19,1591.21058
20,2017/11/22 20:20,1611.524216,,2017/11/23 19:50,1601.321194,,2017/11/26 19:20,1589.074511,,2017/11/27 19:20,1665.197844,,2017/11/28 19:20,1589.940864,,2017/11/29 19:20,1675.054626,,2017/11/30 19:20,1705.379161,,2017/12/3 19:20,1591.258982
21,2017/11/22 20:21,1611.524216,,2017/11/23 19:51,1601.52101,,2017/11/26 19:21,1589.074511,,2017/11/27 19:21,1665.503471,,2017/11/28 19:21,1589.951501,,2017/11/29 19:21,1674.996327,,2017/11/30 19:21,1705.704044,,2017/12/3 19:21,1591.21058
