,Date,cointegration_today,Date,cointegration_from_yesterday,,Date,cointegration_today,Date,cointegration_from_yesterday,,Date,cointegration_today,Date,cointegration_from_yesterday,,Date,cointegration_today,Date,cointegration_from_yesterday,,Date,cointegration_today,Date,cointegration_from_yesterday,,Date,cointegration_today,Date,cointegration_from_yesterday,,Date,cointegration_today,Date,cointegration_from_yesterday
1,2017/11/22 20:01,1468.158121,2017/11/23 19:31,1468.204794,,2017/11/23 19:31,1475.962729,2017/11/26 19:01,1474.692065,,2017/11/26 19:01,1495.428948,2017/11/27 19:01,1502.252593,,2017/11/27 19:01,1405.406441,2017/11/28 19:01,1397.341621,,2017/11/28 19:01,1492.375805,2017/11/29 19:01,1488.758822,,2017/11/29 19:01,1364.801992,2017/11/30 19:01,1371.759056,,2017/11/30 19:01,1413.751875,2017/12/3 19:01,1412.39598
2,2017/11/22 20:02,1468.246562,2017/11/23 19:32,1468.425894,,2017/11/23 19:32,1476.181741,2017/11/26 19:02,1474.784089,,2017/11/26 19:02,1495.524234,2017/11/27 19:02,1501.691262,,2017/11/27 19:02,1404.902527,2017/11/28 19:02,1397.288694,,2017/11/28 19:02,1492.29702,2017/11/29 19:02,1489.220538,,2017/11/29 19:02,1365.276327,2017/11/30 19:02,1371.348615,,2017/11/30 19:02,1413.333984,2017/12/3 19:02,1412.600426
3,2017/11/22 20:03,1468.25392,2017/11/23 19:33,1468.379222,,2017/11/23 19:33,1476.13352,2017/11/26 19:03,1475.003102,,2017/11/26 19:03,1495.736492,2017/11/27 19:03,1501.479003,,2017/11/27 19:03,1404.668607,2017/11/28 19:03,1397.148342,,2017/11/28 19:03,1492.169376,2017/11/29 19:03,1489.518373,,2017/11/29 19:03,1365.60893,2017/11/30 19:03,1371.538674,,2017/11/30 19:03,1413.519624,2017/12/3 19:03,1412.878885
4,2017/11/22 20:04,1468.51924,2017/11/23 19:34,1468.194983,,2017/11/23 19:34,1475.945052,2017/11/26 19:04,1475.090707,,2017/11/26 19:04,1495.821396,2017/11/27 19:04,1501.479003,,2017/11/27 19:04,1404.668607,2017/11/28 19:04,1397.183627,,2017/11/28 19:04,1492.2219,2017/11/29 19:04,1489.55461,,2017/11/29 19:04,1365.608119,2017/11/30 19:04,1371.064338,,2017/11/30 19:04,1413.046122,2017/12/3 19:04,1412.730252
5,2017/11/22 20:05,1468.60768,2017/11/23 19:35,1467.885443,,2017/11/23 19:35,1475.638434,2017/11/26 19:05,1475.051324,,2017/11/26 19:05,1495.789326,2017/11/27 19:05,1501.500691,,2017/11/27 19:05,1404.738389,2017/11/28 19:05,1397.148342,,2017/11/28 19:05,1492.169376,2017/11/29 19:05,1489.459539,,2017/11/29 19:05,1365.529469,2017/11/30 19:05,1371.394506,,2017/11/30 19:05,1413.3992,2017/12/3 19:05,1412.265952
6,2017/11/22 20:06,1468.791919,2017/11/23 19:36,1467.703657,,2017/11/23 19:36,1475.454385,2017/11/26 19:06,1475.103965,,2017/11/26 19:06,1495.852542,2017/11/27 19:06,1501.203529,,2017/11/27 19:06,1404.410901,2017/11/28 19:06,1396.807777,,2017/11/28 19:06,1491.716615,2017/11/29 19:06,1489.55461,,2017/11/29 19:06,1365.608119,2017/11/30 19:06,1371.806571,,2017/11/30 19:06,1413.798285,2017/12/3 19:06,1412.117118
7,2017/11/22 20:07,1468.971252,2017/11/23 19:37,1467.615217,,2017/11/23 19:37,1475.36678,2017/11/26 19:07,1475.235372,,2017/11/26 19:07,1495.979897,2017/11/27 19:07,1501.203529,,2017/11/27 19:07,1404.410901,2017/11/28 19:07,1396.293154,,2017/11/28 19:07,1491.248589,2017/11/29 19:07,1489.597158,,2017/11/29 19:07,1365.655633,2017/11/30 19:07,1371.759056,,2017/11/30 19:07,1413.751875,2017/12/3 19:07,1411.885068
8,2017/11/22 20:08,1469.103912,2017/11/23 19:38,1467.570997,,2017/11/23 19:38,1475.322978,2017/11/26 19:08,1475.730458,,2017/11/26 19:08,1496.478012,2017/11/27 19:08,1501.383718,,2017/11/27 19:08,1404.586538,2017/11/28 19:08,1395.554531,,2017/11/28 19:08,1490.392946,2017/11/29 19:08,1489.301968,,2017/11/29 19:08,1365.436063,2017/11/30 19:08,1371.853274,,2017/11/30 19:08,1413.854098,2017/12/3 19:08,1411.922277
9,2017/11/22 20:09,1469.243931,2017/11/23 19:39,1467.295865,,2017/11/23 19:39,1475.042486,2017/11/26 19:09,1475.905669,,2017/11/26 19:09,1496.647819,2017/11/27 19:09,1501.415788,,2017/11/27 19:09,1404.644821,2017/11/28 19:09,1395.262329,,2017/11/28 19:09,1490.147635,2017/11/29 19:09,1489.099205,,2017/11/29 19:09,1365.18211,2017/11/30 19:09,1371.726298,,2017/11/30 19:09,1413.733472,2017/12/3 19:09,1411.75504
10,2017/11/22 20:10,1469.779477,2017/11/23 19:40,1467.030545,,2017/11/23 19:40,1474.77967,2017/11/26 19:10,1475.866285,,2017/11/26 19:10,1496.615749,2017/11/27 19:10,1501.150695,,2017/11/27 19:10,1404.375616,2017/11/28 19:10,1395.262329,,2017/11/28 19:10,1490.147635,2017/11/29 19:10,1489.046681,,2017/11/29 19:10,1365.150974,2017/11/30 19:10,1371.821327,,2017/11/30 19:10,1413.826292,2017/12/3 19:10,1411.587803
